"""When inorder traversing a tree resulted E A C K F H D B G; the preorder traversal would return (C- Technical)""",FAEKCDBHG,FAEKCDHGB,EAFKHDCBG,FAEKCDHGB,B,10
If the data collection is in sorted form and equally distributed then the run time complexity of interpolation search is  ________,?(n),?(1),?(log n),?(log (log n)),D,9
A technique for direct search is  ________,Binary Search,Linear Search,Tree Search,Hashing,D,8
If a node having two children is deleted from a binary tree it is replaced by its _________,In-order predecessor,In-order successor,Pre-order predecessor,None of these,B,10
In a min heap:,minimum values are stored.,child nodes have less value than parent nodes.,parent nodes have less value than child nodes,maximum value is contained by the root node.,C,6
The searching technique that takes O(1) time to find a data is,Linear Search,Binary Search,Hashing,Tree Search,C,7
A mathematical-model with a collection of operations defined on that model is called:,Data Structure,Abstract Data Type,Primitive Data Type,Algorithm,B,10
The number of interchanges required to sort 5-1-6- 2- 4 in ascending order using Bubble Sort is,6,5,7,8,B,6
The postfix form of the expression (A+ B)* (C*D? E)*F / G is:,AB+ CD*E ? FG /**,AB + CD* E ? F **G /,AB + CD* E ? *F *G /,AB + CDE * ? * F *G /,A,10
The complexity of multiplying two matrices of order m*n and n*p is  ________,mnp,mp,mn,np,A,7
Merging 4 sorted files containing 50-10-25 and 15 records will take  ________time,O(100),O(200),O(175),O(125),A,9
For an undirected graph with n vertices and e edges the sum of the degree of each vertex is equal to:,2n,(2n-1)/2,2e,e2/2,C,7
Project scheduling is an example of  _______,Greedy programming,Dynamic programming,Divide and conquer,None of the above,B,8
Minimum number of queues required for priority queue implementation?,5,4,3,2,D,10
In worst case Quick Sort has order  ________,O(n log n),O(n2/2),O(log n),O(n2/4),B,8
To partition unsorted list a pivot element is used in  ________,Merge Sort,Quick Sort,Insertion Sort,Selection Sort,B,9
What is the worst case time complexity of linear search algorithm?,?(1),?(n),?(log n),?(n2),D,7
A full binary tree with 2n+1 nodes contain  _______,n leaf nodes,n non-leaf nodes,n-1 leaf nodes,n-1 non-leaf nodes,B,8
If a node in a BST has two children then its inorder predecessor has  ________.,no left child,no right child,two children,no child,B,9
The worst case complexity of binary search matches with  ______,interpolation search,linear search,merge sort,none of the above,B,7
A linear list of elements in which deletion can be done from one end (front) and insertion can take place only at the other end (rear) is known as a  ________,Queue,Stack,Tree,Linked list,A,6
The ? notation in asymptotic evaluation represents __________,Base case,Average case,Worst case,NULL case,B,8
A sort which relatively passes through a list to exchange the first element with any element less than it and then repeats with a new first element is called  ________,Insertion sort,Selection sort,Heap sort,Quick sort,D,10
Which of the following sorting algorithms does not have a worst case running time of O(n2) ?,Insertion sort,Merge sort,Quick sort ,Bubble sort,B,9
An undirected graph G with n vertices and e edges is represented by adjacency list. What is the time required to generate all the connected components?,O(n),O(e),O(e+n),O(e2),C,8
A stable sorting algorithm:,does not crash.,does not run out of memory,does not change the sequence of appearance of elements,does not exists.,C,10
Consider a linked list of n elements. What is the time taken to insert an element after an element pointed by some pointer?,O(1),O(log2 n),O(n),O(n log2 n),A,6
How many pointers are contained as data members in the nodes of a circular. doubly linked list of integers with five nodes?,5,8,10,15,C,7
The smallest element of an array’s index is called its,lower bound,upper bound,range,extraction,A,10
What is the worst case run-time complexity of binary search algorithm?,?(n2),?(nlog n),?(n3),?(n),D,6
A queue data-structure can be used for  ________,expression parsing,recursion,resource allocation,all of these,C,10
The maximum degree of any vertex in a simple graph with n vertices is:,n–1,n+1,2n–1,n,A,7
The data structure required for Breadth First Traversal on a graph is  ________,Queue,Stack,Array,Tree,A,9
The number of different directed trees with 3 nodes are:,2,3,4,5,B,7
One can convert a binary tree into its mirror image by traversing it in,in-order,pre-order,post-order,any order,C,8
In a linked list with n nodes. the time taken to insert an element after an element pointed by some pointer is  ________,O(1),O(log n),O(n),O(n 1og n),A,10
The data structure required to evaluate a postfix expression is ________,Queue,Stack,Array,linked-list,B,8
The data structure required to check whether an expression contains balanced parenthesis is  ________,Stack,Queue,Tree,Array,A,9
The complexity of searching an element from a set of n elements using Binary search algorithm is  ________,O(n),O(log n),O(n2),O(n log n),B,7
Which of the sorting techniques has highest best-case runtime complexity?,Quick sort,Selection sort,Insertion sort,Bubble sort,B,8
The number of leaf nodes in a complete binary tree of depth d is ________,2d,2d–1+1,2d+1+1,2d+1,A,9
A circular linked list can be used for  ________,Stack,Queue,Both Stack & Queue,Neither Stack or Queue,C,7
What data structure would you mostly likely see in a non-recursive implementation of a recursive algorithm?,Stack,Linked list,Queue,Trees,A,6
Which of the following sorting methods would be most suitable for sorting a list which is almost sorted?,Bubble Sort,Insertion Sort,Selection Sort,Quick Sort,A,10
A B-tree of minimum degree t can maximum ________pointers in a node.,t–1,2t–1,2t,t,D,9
The process of accessing data stored in a serial access memory is similar to manipulating data on a  ________,heap,queue,stack,binary tree,C,8
Stack is used for  ________,CPU Resource Allocation,Breadth First Traversal,Recursion,None of the above,C,10
Re-balancing of AVL tree costs  ________,?(1),?(log n),?(n),?(n2),B,6
A BST is traversed in the following order recursively: Right root left The output sequence will be in,Ascending order,Descending order,Bitomic sequence,No specific order,B,7
Quick sort running time depends on the selection of  ________,size of array,pivot element,sequence of values,none of the above,B,10
The pre-order and post order traversal of a Binary Tree generates the same output. The tree can have maximum  ________,Three nodes,Two nodes,One node,Any number of nodes,C,6
The postfix form of A*B+C/D is”,*AB/CD+,AB*CD/+,A*BC+/D,ABCD+/*,B,10
A linear collection of data elements where the linear node is given by means of pointer is called  ________,Linked list,Node list,Primitive list,None of these.,A,7
Representation of data structure in memory is known as:,recursive,abstract data type,storage structure,file structure,B,9
What data structure can be used to check if syntax has balanced parenthesis?,Queue,Tree,List,Stack,D,7
How many binary trees with 3 nodes which when traversed in post order gives the sequence A.B.C is ?,3,4,5,6,C,8
An adjacency matrix representation of a graph cannot contain information of :,nodes,edges,direction of edges,parallel edges,D,10
Which data structure represents a waiting line and limits insertions to be made at the back of the data structure and limits removals to be made from the front?,Stack,Queue,Binary tree,Linked list,B,8
Quick sort is also known as  ________,Merge sort,Heap sort,Bubble sort,None of these,D,9
An ADT is defined to be a mathematical model of a user-defined type along with the collection of all  ________operations on that model.,Cardinality,Assignment,Primitive,Structured,C,7
The goal of hashing is to produce a search that takes  ________,O(1) time,O(n2) time,O(log n) time,O(n log n) time,A,8
The best average behaviour is shown by,Quick Sort,Merge Sort,Insertion Sort,Heap Sort,A,9
Time complexities of three algorithms are given. Which should execute the slowest for large values of N?,O(N1/2),O(N),O(log N),None of these,B,7
What data structure is used for depth first traversal of a graph?,Queue,Stack,List,None of these,B,6
A queue is a,FIFO (First In First Out) list,LIFO (Last In First Out) list,Ordered array,Linear tree,A,10
Which data structure is needed to convert infix notation to postfix notation?,Branch,Queue,Tree,Stack,D,9
In general. linked lists allow,Insertions and removals anywhere,Insertions and removals only at one end,Insertions at the back and removals from the front,None of the above,A,8
Which of the following has search efficiency of ?(1)?,Tree,Heap,Hash Table,Linked-List,C,10
The extra key inserted at the end of the array is called a  ________,End key,Stop key,Sentinel,Transposition,C,6
The prefix form of A-B/ (C * D ^ E) is,-/*^ACBDE,-ABCD*^DE,-A/B*C^DE,-A/BC*^DE,C,7
Maximum number of nodes in a binary tree with height k. root is at height 0 is:,2k ? 1,2k+1 ? 1,2k-1 + 1,2k + 1,B,10
Consider that n elements are to be sorted. What is the worst case time complexity of Bubble sort?,O(1),O(log2n),O(n),O(n2),D,6
A characteristic of the data that binary search uses but the linear search ignores is the  ________,Order of the elements of the list,Length of the list,Maximum value in list,Type of elements of the list,D,10
In Breadth First Search of Graph.which of the following data structure is used?,Stack,Queue,Linked List,None of the above,B,7
The largest element of an array index is called its  ________,lower bound,range,upper bound,All of these,C,9
What is the result of the following operation: Top (Push (S  X)),X,null,S,None of these.,A,7
How many nodes in a tree have no ancestors?,0,1,2,n,B,8
In order traversal of binary search tree will produce  _______,unsorted list,reverse of input,sorted list,none of the above,C,10
In binary heap. whenever the root is removed then the rightmost element of last level is replaced by the root. Why?,It is the easiest possible way.,To make sure that it is still complete binary tree.,Because left and right subtree might be missing.,None of these,B,8
In order to get the contents of a Binary search tree in ascending order. one has to traverse it in  ________,pre-order,in-order,post order,not possible,B,9
Which of the following sorting algorithm is stable?,Insertion sort,Bubble sort,Quick sort,Heap sort,D,7
Which data structure is used for implementing recursion?,Queue,Stack,Arrays,List,B,8
In binary search. average number of comparison required for searching an element in a list if n numbers is:,log2 n,n / 2,n,n – 1,A,9
